metier;personnalite
Chanteur de concert;artistique
Chanteur populaire;artistique
Choriste;artistique
Musicologue;artistique
Professeur d'art dramatique (collège ou université);artistique
Professeur d'arts plastiques;artistique
Professeur de chant;artistique
Professeur de danse;artistique
Directeur de la publicité;artistique
Interprète;artistique
Rédacteur publicitaire;artistique
Maquilleur-coiffeur;artistique
Acrobate;artistique
Assistant à la réalisation;artistique
Cadreur;artistique
Clown;artistique
Contorsionniste;artistique
Directeur artistique;artistique
Directeur de la distribution;artistique
Directeur de la photographie;artistique
Directeur de production multimédia;artistique
Echassier;artistique
Equilibriste;artistique
Jongleur;artistique
Magicien;artistique
Technicien de production (télévision);artistique
Trapéziste;artistique
Concepteur-designer d'expositions;artistique
Decorateur-étalagiste;artistique
Metteur en scène de théâtre;artistique
Producteur audio en multimédia;artistique
Réalisateur (cinéma, radio, télévision);artistique
Technicien en design de présentation;artistique
Chorégraphe;artistique
Mannequin;artistique
Marionnettiste;artistique
Chargé de programmation (radio, télévision);artistique
Directeur de production (cinéma, télévision);artistique
Directeur technique de productions artistiques;artistique
Discothécaire (radiotélédiffusion);artistique
Producteur (cinéma, radio, télévision, théâtre);artistique
Régisseur;artistique
Commis à la comptabilité;conventionnel
Commis à la facturation;conventionnel
Commis à la fiscalité;conventionnel
Commis au budget;conventionnel
Commis au service de la paie;conventionnel
Commis aux comptes à recevoir;conventionnel
Commis de bureau;conventionnel
Commis de soutien à la gestion des ressources;conventionnel
Technicien en arpentage;conventionnel
Agent de centre d’appels;conventionnel
Archiviste médical;conventionnel
Caissier d’institution financière;conventionnel
Commis au classement;conventionnel
Préposé aux dossiers médicaux;conventionnel
Commis à la saisie de données;conventionnel
Commis de supermarché;conventionnel
Opérateur à la saisie de données;conventionnel
Préposé à l’emballage;conventionnel
Agent-conseil de crédit;conventionnel
Commis d’assurances;conventionnel
Coordonnateur du transport de voyageurs par autobus;conventionnel
Répartiteur en transport routier de personnes et marchandises;conventionnel
Vérificateur des impôts;conventionnel
Analyste en gestion d’entreprises;conventionnel
Commis aux approvisionnements;conventionnel
Commis de bourse;conventionnel
Commis de services financiers;conventionnel
Conseiller en organisation du travail;conventionnel
Correcteur d’épreuves;conventionnel
Technicien en collecte d’information;conventionnel
Technicien en enquête administrative;conventionnel
Technicien en statistiques;conventionnel
Caissier d’établissement commercial;conventionnel
Caissier de billetterie;conventionnel
Caissier de cafétéria;conventionnel
Caissier de station libre-service;conventionnel
Teneur de livres;conventionnel
Commis de bibliothèques;conventionnel
Secrétaire;conventionnel
Secrétaire juridique;conventionnel
Secrétaire médical;conventionnel
Sténographe juridique;conventionnel
Technicien en bureautique;conventionnel
Adjoint administratif;conventionnel
Commis au service du personnel;conventionnel
Commis aux plaintes;conventionnel
Concierge d’hôtel;conventionnel
Conseiller en voyages;conventionnel
Forfaitiste;conventionnel
Préposé à l’admission dans un hôpital;conventionnel
Préposé au service à la clientèle;conventionnel
Préposé aux renseignements;conventionnel
Préposé aux renseignements touristiques;conventionnel
Réceptionniste d’hôtel;conventionnel
Réceptionniste-téléphoniste;conventionnel
Secrétaire de direction;conventionnel
Téléphoniste (télécommunications);conventionnel
Commis des postes;conventionnel
Analyste financier;conventionnel
Conseiller en valeurs mobilières;conventionnel
Coordonnateur de la production;conventionnel
Chef pâtissier;conventionnel
Commis d’institution financière;conventionnel
Comptable;conventionnel
Fiscaliste;conventionnel
Entrepreneur en aménagement paysager;Entrepreneur
Entrepreneur en travaux publics;Entrepreneur
Entraîneur de chevaux;Entrepreneur
Agent de police de port;Entrepreneur
Enquêteur;Entrepreneur
Officier d’artillerie ou de blindés;Entrepreneur
Officier d’infanterie;Entrepreneur
Officier de la police militaire;Entrepreneur
Officier de la logistique;Entrepreneur
Officier de sélection du personnel;Entrepreneur
Officier du génie de l’air;Entrepreneur
Officier en génie électrique et mécanique;Entrepreneur
Policier;Entrepreneur
Policier communautaire;Entrepreneur
Policier militaire;Entrepreneur
Chef accessoiriste;Entrepreneur
Chef de gare;Entrepreneur
Contremaître d’ébénistes et de menuisiers en meubles;Entrepreneur
Contremaître de mécaniciens d’automobiles;Entrepreneur
Contremaître installateur en équipements pétroliers;Entrepreneur
Contrôleur routier;Entrepreneur
Entrepreneur en pavage;Entrepreneur
Entrepreneur en transport;Entrepreneur
Garagiste;Entrepreneur
Inspecteur de la circulation par autobus;Entrepreneur
Technicien en diététique;Entrepreneur
Technicien en nutrition clinique;Entrepreneur
Agronome;Entrepreneur
Agronome en production animale ou végétale;Entrepreneur
Gestionnaire en sécurité incendie;Entrepreneur
Conseiller en consommation d’énergie;Entrepreneur
Expert-conseil en informatique;Entrepreneur
Représentant aux ventes d’équipements agricoles;Entrepreneur
Représentant pharmaceutique;Entrepreneur
Représentant technique;Entrepreneur
Vendeur-technicien d’équipement lourd;Entrepreneur
Vendeur-technicien de matériel électronique;Entrepreneur
Inspecteur municipal;Entrepreneur
Surveillant d’établissement de jeu;Entrepreneur
Animateur (radio, télévision);Entrepreneur
Annonceur réalisateur du service international;Entrepreneur
Commentateur sportif;Entrepreneur
Préposé aux relations avec l’auditoire;Entrepreneur
Avocat;Entrepreneur
Avocat de la couronne;Entrepreneur
Conseiller juridique;Entrepreneur
Juge;Entrepreneur
Légiste;Entrepreneur
Notaire;Entrepreneur
Agent de location de véhicules;Entrepreneur
Aide-commis de magasin;Entrepreneur
Chauffeur de cantine mobile;Entrepreneur
Commis de club vidéo;Entrepreneur
Commis de dépanneur;Entrepreneur
Commis-vendeur;Entrepreneur
Commis-vendeur de fruits et légumes;Entrepreneur
Commis-vendeur d’animalerie;Entrepreneur
Commis-vendeur d’articles de sports;Entrepreneur
Commis-vendeur de matériel photographique;Entrepreneur
Commis-vendeur de poissons et fruits de mer;Entrepreneur
Commis-vendeur de quincaillerie;Entrepreneur
Commis-vendeur de vêtements;Entrepreneur
Conseiller à la vente de véhicules automobile;Entrepreneur
Conseiller en produits de beauté;Entrepreneur
Directeur d’institution financière;Entrepreneur
Infirmier-chef;Entrepreneur
Inspecteur en protection animale;Entrepreneur
Livreur;Entrepreneur
Préposé à la location d’outils;Entrepreneur
Préposé à la location de matériel (sport);Entrepreneur
Vendeur de services automobiles;Entrepreneur
Administrateur de bases de données;Entrepreneur
Administrateur de systèmes informatiques;Entrepreneur
Agent commercial;Entrepreneur
Agent d’assurances;Entrepreneur
Agent de dotation;Entrepreneur
Agent des ressources humaines;Entrepreneur
Analyste en informatique;Entrepreneur
Analyste en informatique de gestion;Entrepreneur
Antiquaire;Entrepreneur
Cambiste;Entrepreneur
Chargé de projet multimédia;Entrepreneur
Concepteur de logiciels;Entrepreneur
Concepteur-idéateur de jeux électroniques;Entrepreneur
Concepteur-idéateur de produits multimédias;Entrepreneur
Concessionnaire d’automobiles;Entrepreneur
Conseiller en communication électronique;Entrepreneur
Conseiller municipal;Entrepreneur
Courtier d’assurances;Entrepreneur
Directeur d’agence de voyages;Entrepreneur
Directeur d’établissements touristiques;Entrepreneur
Directeur d’une agence de guides;Entrepreneur
Gérant d’entrepôt;Entrepreneur
Gérant de boutique de vêtements;Entrepreneur
Gérant de commerce de détail;Entrepreneur
Importateur-exportateur;Entrepreneur
Imprésario;Entrepreneur
Libraire;Entrepreneur
Maire;Entrepreneur
Ministre;Entrepreneur
Négociateur de bourse;Entrepreneur
Premier ministre;Entrepreneur
Représentant aux ventes de transport routier;Entrepreneur
Représentant commercial;Entrepreneur
Vendeur de publicité pour la radio ou la télévision;Entrepreneur
Vendeur-technicien de matériaux de construction;Entrepreneur
Webmestre;Entrepreneur
Agent d’information;Entrepreneur
Attaché de presse;Entrepreneur
Chef du service de promotion des ventes;Entrepreneur
Conseiller en loisirs;Entrepreneur
Guide accompagnateur;Entrepreneur
Guide de plein air;Entrepreneur
Guide-interprète du patrimoine;Entrepreneur
Guide touristique;Entrepreneur
Officier des affaires publiques;Entrepreneur
Publicitaire;Entrepreneur
Récréologue;Entrepreneur
Spécialiste des relations publiques;Entrepreneur
Administrateur;Entrepreneur
Administrateur d’organisme public;Entrepreneur
Agent d’administration;Entrepreneur
Agent d’assurance-emploi;Entrepreneur
Agent de bord;Entrepreneur
Agent de développement économique;Entrepreneur
Agent de promotion touristique;Entrepreneur
Analyste de marchés;Entrepreneur
Arbitre;Entrepreneur
Armateur;Entrepreneur
Aubergiste;Entrepreneur
Chef cuisinier;Entrepreneur
Chef de cabinet;Entrepreneur
Chef réceptionniste d’hôtel;Entrepreneur
Comptable adjoint;Entrepreneur
Consultant en tourisme;Entrepreneur
Coordonnateur de congrès et de réunions (hôtels et centres de congrès);Entrepreneur
Coordonnateur des services de tourisme;Entrepreneur
Directeur administratif;Entrepreneur
Directeur d’association touristique;Entrepreneur
Directeur d’équipe de sport professionnel;Entrepreneur
Directeur d’établissement de loisirs;Entrepreneur
Directeur d’usine de production de vêtements;Entrepreneur
Directeur de banquets;Entrepreneur
Directeur de bar;Entrepreneur
Directeur de congrès et de réunion;Entrepreneur
Directeur de département de soins hospitaliers;Entrepreneur
Directeur de l’exploitation des transports routiers;Entrepreneur
Directeur de la réception;Entrepreneur
Directeur de la restauration;Entrepreneur
Directeur de production industrielle;Entrepreneur
Directeur de programmes de loisirs;Entrepreneur
Directeur des activités de croisière;Entrepreneur
Directeur des communications (politique);Entrepreneur
Directeur des jeux (casino);Entrepreneur
Directeur des ressources humaines;Entrepreneur
Directeur des soins infirmiers;Entrepreneur
Directeur des ventes;Entrepreneur
Directeur du développement touristique;Entrepreneur
Directeur du marketing;Entrepreneur
Directeur du service à la clientèle;Entrepreneur
Directeur du service de diététique;Entrepreneur
Directeur du service des loisirs;Entrepreneur
Directeur général d’un centre de loisirs de plein air;Entrepreneur
Directeur général d’un établissement hôtelier;Entrepreneur
Directeur général de l’enseignement;Entrepreneur
Directeur-gérant de restaurant;Entrepreneur
Dirigeant d’imprimerie;Entrepreneur
Éditeur;Entrepreneur
Entrepreneur en construction;Entrepreneur
Examinateur des réclamations d’assurances;Entrepreneur
Expert-conseil en commercialisation;Entrepreneur
Exploitant de terrain de camping;Entrepreneur
Gérant d’un centre de loisirs;Entrepreneur
Gestionnaire d’entreprise touristique;Entrepreneur
Huissier;Entrepreneur
Maître de poste;Entrepreneur
Œnologue;Entrepreneur
Officier d’administration des services de santé;Entrepreneur
Organisateur de congrès et d’événements spéciaux;Entrepreneur
Pourvoyeur de chasse et de pêche;Entrepreneur
Protecteur du citoyen;Entrepreneur
Sous-ministre;Entrepreneur
Superviseur d’un centre d’information touristique;Entrepreneur
Superviseur d’un service de traiteur;Entrepreneur
Superviseur de l’accueil et de l’animation;Entrepreneur
Superviseur des services alimentaires;Entrepreneur
Surintendant de parc;Entrepreneur
Surveillant de personnel de bureau;Entrepreneur
Technicien administratif en gestion informatisée;Entrepreneur
Technicien en administration;Entrepreneur
Technicien en administration du commerce  international;Entrepreneur
Technicien en marketing;Entrepreneur
Technicien en transport;Entrepreneur
Téléphoniste en télémarketing (sollicitation téléphonique);Entrepreneur
Vendeur à domicile;Entrepreneur
Biophysicien;Investigateur
Démographe;Investigateur
Ingénieur physicien;Investigateur
Mathématicien de recherche;Investigateur
Météorologue;Investigateur
Physicien;Investigateur
Physicien nucléaire;Investigateur
Statisticien;Investigateur
Technicien en météorologie;Investigateur
Technologiste en cytologie;Investigateur
Technologue en microbiologie;Investigateur
Agronome;Investigateur
Anatomiste;Investigateur
Archéologue;Investigateur
Bactériologiste;Investigateur
Biologiste;Investigateur
Biologiste de la vie aquatique;Investigateur
Biologiste médical;Investigateur
Botaniste;Investigateur
Écologiste;Investigateur
Entomologiste (étude des insectes);Investigateur
Épidémiologiste;Investigateur
Généticien;Investigateur
Géographe;Investigateur
Immunologue;Investigateur
Inhalothérapeute;Investigateur
Massothérapeute;Investigateur
Microbiologiste;Investigateur
Mycologue (étude des champignons);Investigateur
Ornithologue;Investigateur
Orthothérapeute;Investigateur
Pathologiste vétérinaire;Investigateur
Pharmacologue;Investigateur
Physiologiste;Investigateur
Phytobiologiste;Investigateur
Technologue en électrophysiologie médicale;Investigateur
Technologue en horticulture ornementale;Investigateur
Technologue en médecine nucléaire;Investigateur
Technologue en radio-oncologie;Investigateur
Technologue en radiologie;Investigateur
Vétérinaire;Investigateur
Virologiste;Investigateur
Zoologiste;Investigateur
Acuponcteur;Investigateur
Contrôleur en produits pharmaceutiques;Investigateur
Dentiste;Investigateur
Designer de l’environnement;Investigateur
Hydrogéologue;Investigateur
Hygiéniste industriel;Investigateur
Ingénieur agricole;Investigateur
Ingénieur chimiste;Investigateur
Ingénieur civil;Investigateur
Ingénieur de l’environnement;Investigateur
Ingénieur en aérospatiale;Investigateur
Ingénieur en mécanique du bâtiment;Investigateur
Ingénieur en métallurgie physique;Investigateur
Ingénieur géologue;Investigateur
Ingénieur industriel;Investigateur
Ingénieur mécanique;Investigateur
Ingénieur minier;Investigateur
Médecin légiste;Investigateur
Médecin spécialiste en biochimie;Investigateur
Médecin spécialiste en génétique;Investigateur
Médecin spécialiste en microbiologie médicale;Investigateur
Officier de génie militaire;Investigateur
Officier en génie aérospatial;Investigateur
Orthodontiste;Investigateur
Pathologiste médical;Investigateur
Pédodontiste;Investigateur
Technicien en hygiène industrielle;Investigateur
Technicien en recherche et développement;Investigateur
Technologue en assainissement de l’eau;Investigateur
Technologue en biochimie;Investigateur
Technologue en chimie;Investigateur
Technologue en contrôle de la qualité des produits alimentaires;Investigateur
Technologue en génie chimique;Investigateur
Technologue en procédés de fabrication alimentaire;Investigateur
Urbaniste;Investigateur
Classeur-mesureur;Investigateur
Contrôleur de systèmes électroniques;Investigateur
Dessinateur-concepteur en mécanique du bâtiment;Investigateur
Directeur informatique multimédia;Investigateur
Électronicien en communications navales;Investigateur
Estimateur en électricité de construction;Investigateur
Gestionnaires de réseaux informatiques;Investigateur
Ingénieur alimentaire;Investigateur
Ingénieur biomédical;Investigateur
Ingénieur en informatique;Investigateur
Ingénieur en intelligence artificielle;Investigateur
Ingénieur en industrie agroalimentaire;Investigateur
Mécanicien d’instruments de bord;Investigateur
Monteur de matériel électronique aéronautique;Investigateur
Officier navigateur aérien;Investigateur
Officier pilote;Investigateur
Opérateur d’ordinateur;Investigateur
Pilote d’avion;Investigateur
Pilote d’hélicoptère;Investigateur
Pilote de brousse;Investigateur
Programmeur analyste;Investigateur
Programmeur de machines-outils à commande numérique;Investigateur
Régisseur de bâtiment;Investigateur
Responsable de soutien technique en micro-informatique;Investigateur
Spécialiste en sécurité de systèmes informatiques;Investigateur
Technicien de laboratoire en biologie;Investigateur
Technicien de laboratoire médical;Investigateur
Technicien de laboratoire vétérinaire;Investigateur
Technicien en biologie;Investigateur
Technicien en écologie appliquée;Investigateur
Technicien en électronique biomédicale;Investigateur
Technicien en électronique industrielle;Investigateur
Technicien en génie biomédical;Investigateur
Technicien en génie mécanique;Investigateur
Technicien en informatique industrielle;Investigateur
Technicien en production manufacturière;Investigateur
Technicien en radiologie;Investigateur
Technicien en santé animale;Investigateur
Technicien en systèmes aéronautiques;Investigateur
Technicien en télécommunication;Investigateur
Technicien en zoologie;Investigateur
Technicien métallurgiste;Investigateur
Technicien spécialiste en génie naval;Investigateur
Technologiste-conseil en gestion agricole;Investigateur
Technologue agricole;Investigateur
Technologiste médical;Investigateur
Technologue en centrale nucléaire;Investigateur
Technologue de laboratoire de physique;Investigateur
Technologue des textiles;Investigateur
Technologue en aéronautique;Investigateur
Technologue en avionique;Investigateur
Technologue en bactériologie;Investigateur
Technologue en botanique;Investigateur
Technologue en entretien d’aéronefs;Investigateur
Technologue en environnement agricole;Investigateur
Technologue en estimation des coûts de construction;Investigateur
Technologue en exploitation minière;Investigateur
Technologue en génie électrique;Investigateur
Technologue en génie industriel;Investigateur
Technologue en génie mécanique;Investigateur
Technologue en génie nucléaire;Investigateur
Technologue en géologie;Investigateur
Technologue en géophysique;Investigateur
Technologue en hydrologie;Investigateur
Technologue en informatique;Investigateur
Technologue en mécanique du bâtiment;Investigateur
Technologue en minéralurgie;Investigateur
Technologue en photonique;Investigateur
Technologue en production animale;Investigateur
Technologue en productions végétales;Investigateur
Technologue en prospection minière;Investigateur
Technologue en robotique;Investigateur
Technologue en systèmes ordinés;Investigateur
Technologue en transformation des matériaux composites;Investigateur
Technologue en transformation des matières plastiques;Investigateur
Anthropologue;Investigateur
Astronome;Investigateur
Biochimiste;Investigateur
Chimiste;Investigateur
Ethnologue;Investigateur
Géochimiste;Investigateur
Géologue;Investigateur
Géophysicien;Investigateur
Hydrographe;Investigateur
Hydrologue;Investigateur
Hygiéniste dentaire;Investigateur
Minéralogiste;Investigateur
Océanographe;Investigateur
Paléontologue;Investigateur
Restaurateur d’objets anciens;Investigateur
Scientifique en produits alimentaires;Investigateur
Sismologue;Investigateur
Taxidermiste;Investigateur
Technicien en muséologie;Investigateur
Agroéconomiste;Investigateur
Conseiller en importation et exportation;Investigateur
Économiste;Investigateur
Économiste en commerce international;Investigateur
Économiste en développement international;Investigateur
Économiste financier;Investigateur
Économiste industriel;Investigateur
Linguiste;Investigateur
Psychométricien;Investigateur
Traducteur;Investigateur
Technicien juridique;Investigateur
Chiropraticien;Investigateur
Conseiller en conditionnement physique;Investigateur
Éducateur physique kinésiologique;Investigateur
Optométriste;Investigateur
Ostéopathe;Investigateur
Anesthésiste réanimateur;Investigateur
Auxiliaire de recherche et d’enseignement;Investigateur
Cardiologue;Investigateur
Chirurgien cardio-vasculaire et thoracique;Investigateur
Chirurgien général;Investigateur
Chirurgien orthopédiste;Investigateur
Chirurgien plasticien;Investigateur
Criminologue;Investigateur
Dermatologue;Investigateur
Directeur de département d’université;Investigateur
Endocrinologue;Investigateur
Expert médico-légal;Investigateur
Gastro-entérologue;Investigateur
Gériatre;Investigateur
Hématologue;Investigateur
Médecin de santé publique;Investigateur
Médecin en médecine d’urgence;Investigateur
Médecin militaire;Investigateur
Médecin spécialiste en médecine nucléaire;Investigateur
Néphrologue;Investigateur
Neurochirurgien;Investigateur
Neurologue;Investigateur
Neuropsychologue;Investigateur
Obstétricien-gynécologue;Investigateur
Omnipraticien;Investigateur
Oncologue médical;Investigateur
Ophtalmologiste;Investigateur
Oto-rhino-laryngologiste;Investigateur
Pédiatre;Investigateur
Philosophe;Investigateur
Physiatre;Investigateur
Pneumologue;Investigateur
Politicologue;Investigateur
Professeur d’université;Investigateur
Professeur de musique;Investigateur
Professeur de musique instrumentale à l’université;Investigateur
Professeur de philosophie;Investigateur
Professeur en enseignement moral et religieux;Investigateur
Psychanalyste;Investigateur
Psychiatre;Investigateur
Psychoéducateur;Investigateur
Psychologue;Investigateur
Psychologue au travail et des organisations;Investigateur
Psychologue scolaire;Investigateur
Psychosociologue;Investigateur
Psychothérapeute;Investigateur
Radio-oncologue;Investigateur
Radiologiste;Investigateur
Rhumatologue;Investigateur
Sociologue;Investigateur
Théologien;Investigateur
Urologue;Investigateur
Assembleur-intégrateur en multimédia;Investigateur
Audiologiste;Investigateur
Diététiste;Investigateur
Historien;Investigateur
Inspecteur de l’immigration;Investigateur
Inspecteur des douanes;Investigateur
Inspecteur des pêches;Investigateur
Inspecteur des produits alimentaires;Investigateur
Inspecteur des produits d’origine animale;Investigateur
Inspecteur des produits végétaux;Investigateur
Inspecteur en environnement agricole;Investigateur
Orthophoniste;Investigateur
Coroner;Investigateur
Audioprothésiste;Investigateur
